Rank,Equipo,Nombre,Goles,Dribbles Exitosos,Tackles,Asistencias,Precisión Pases %,Rating
304,All Boys,Hernán Grana,0,4,,0,76.67,
305,Gimnasia Jujuy,Santiago Camacho,0,6,,0,75,
306,Deportivo Maipú,Emiliano Osuna,0,4,,0,78.49,
307,Gimnasia y Tiro de Salta,Fabricio Rojas,0,1,,0,52.38,
308,Mitre,Matías Kabalin,0,4,,0,81.63,
309,Almagro,Maximiliano Luayza,0,4,,0,72.83,
310,Club Ferro Carril Oeste,Alex Cosi,0,4,,0,82.81,
311,Central Norte de Salta,Alan Gonzalez,0,0,,0,84.21,
312,Nueva Chicago,Juan Motroni,0,3,,0,68.09,
313,Patronato,Fernando Ezequiel Moreyra Aldana,0,0,,0,74.36,
314,Arsenal de Sarandí,Manuel López Scaglia,1,1,,0,68.42,
315,Deportivo Morón,Joaquín Livera,0,0,,1,60.76,
316,Nueva Chicago,Stéfano Callegari,0,1,,0,80,
317,Gimnasia y Tiro de Salta,Nicolás Rinaldi,0,2,,0,82.35,
318,Temperley,Federico Milo,0,4,,0,69.64,
319,Patronato,Ian Escobar,0,3,,0,73.02,
320,San Miguel,Emanuel Dening,0,6,,0,57.14,
321,San Martín de Tucumán,Hernán Zuliani,0,5,,0,65.45,
322,Mitre,Facundo Wiechniak,0,1,,0,85.94,
323,Chaco For Ever,Santiago Valenzuela,0,5,,0,55.81,
324,Racing de Córdoba,Guillermo Sánchez,0,7,,0,55.17,
325,Patronato,Gabriel Díaz,0,2,,0,85.53,
326,Defensores Unidos,Facundo Omar Laumann,0,0,,0,73.91,
327,Deportivo Maipú,Lucas Nicolás Faggioli,0,1,,0,79.69,
328,Atlanta,Lucas Ambrogio,0,3,,0,78.05,
329,Estudiantes de Río Cuarto,Facundo Cobos,0,5,,0,70.92,
330,Club Atletico Colón,Jorge Sanguina,1,1,,0,85.71,
331,Estudiantes de Buenos Aires,Gonzalo Berterame,1,4,,0,74.36,
332,Club Atletico Colón,Joel Soñora,0,4,,0,0,
333,Tristán Suárez,Federico Versaci,0,3,,0,42.86,
334,Quilmes Atlético Club,Fernando Torrent,0,3,,0,74.51,
335,Defensores Unidos,Rodrigo Alejandro Juárez,0,5,,0,56.52,
336,Tristán Suárez,Axel Yamil Abet,0,1,,0,86.84,
337,Almagro,Ramiro Rios,0,0,,0,72.55,
338,Defensores Unidos,Mariano Mauri,0,1,,0,62.5,
339,Estudiantes de Buenos Aires,Román Andrés Rodríguez,0,1,,0,68.85,
340,Colegiales,Iván Ortigoza,0,5,,0,62.07,
341,Club Atletico Colón,Emanuel Gigliotti,1,3,,0,70,
342,Temperley,Claudio Pombo,1,0,,0,77.42,
343,Nueva Chicago,Ivan Molinas,1,3,,0,68.57,
344,Deportivo Maipú,Iván Sandoval,1,2,,0,66.67,
345,Arsenal de Sarandí,Gonzalo Klusener,1,0,,0,60,
346,Temperley,Gabriel Hauche,0,2,,0,73.47,
347,Club Ferro Carril Oeste,Tomás Gonzalez,0,5,,0,65.22,
348,Club Atlético Chacarita Juniors,Nicolás Chávez,0,4,,0,79.52,
